source_path,bytes,original_sha256,disposition
.gitignore,327,427f047d801f94693230114ccb6c52c959c4cc5c871db1daa3cabccd607dc38d,replaced in main repository; original retained in research archive
ai-agent-security-multi-step-tool-attacks/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/__init__.py,1163,a6458ea3ee1ea74d2700052ed73964839b00da8582c7e296857e04298e11ff8b,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/__init__.py,3039,1b6e9600f54ea66d3021f9663a05d908f2ab8881d043941e12dcadbbc18afb02,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/debug.py,6659,4a0a41368bf1bb046f572837531050a5cc69bc6f41f8f9a531ec327407db51f1,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/deterministic_agent.py,16104,c50ba7a7e89651d900622398bccbc9486c71401d29047818fa84a870b55aad76,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/factory.py,5016,c680bfad91b1c7fe5aa486e111c6ec1b1650f7ef717e05c07962cb07a922416d,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/gemma4_agent.py,13241,e99abeb68175d366fe4c0ba700e3578ecafda8a4579f00a0fae5aa8cfcfa02f5,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/gemma_agent.py,8727,c17bef0eec66d19bb05d759b4fcabbf0dc4c4525cb2c29aa6cfb1b31590647b7,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/gpt_oss_agent.py,7650,e3861ef6a69c470b4b47de7604621c428d0e2dddb8cc692ef44c466e37c8298d,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/hf_chat_template/__init__.py,1040,a1385a111be2734f9da763a30589dbf7275781d84b0eba7e9ff752be16cf209d,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/hf_chat_template/agent.py,13514,6904acab523ea5d4dbd9a32a762bc87fd1f0ad4b6dfb5847c3e8be36baba62bb,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/hf_chat_template/backends/__init__.py,270,842bf46fa774cfcb034e2353aa92361482dc1b33e1a39fa5ecf5cc2a52a1a6ad,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/hf_chat_template/backends/llama_cpp.py,6641,1f01f91c10c749d3d5658da7f9f9b4e9837e601eb8cffe514a256c35d88ac0d1,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/hf_chat_template/backends/processor.py,4074,d2d9308efede396dad0eb5265a83223992991a7c45dfec47891aea4a777c9638,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/hf_chat_template/backends/transformers.py,5196,50be21fdf2654b1d73e82158f28ce7d5bb568bbc6ed6126d1a0f254151d43511,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/hf_chat_template/response_parsing.py,6982,ddbbe23a03297dd91dc5e27821a881933dde5ba28b1bb46dc6b14e1b89f7c389,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/hf_chat_template/types.py,5175,9a9e9c924a788be6d313605f0c6775682304dbdc564a3913c9baf27157ebbcbe,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/openai_agent.py,18625,e72da410b613ed87619b5b2165b93ec25268472bf33df57aabc6937bf9a5ab19,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/protocol.py,884,e6ff164eb06d750e5b034306c26feeff7f1d14be76fadb106129bdee1e1fa029,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/tool_specs.py,5363,c920ae8e5b73fc0b381a361c57b8352adc04aac2171abe6848cb41bcfacd5ea9,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/agents/types.py,2193,448a728bb39466bc5e21a85580ae549b78cbb8148f5d52b9deb8c8fefa6ad6e4,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/attacks/__init__.py,319,f8e3f9128329792e79aa316d17d11afef20f610821eea396ac50c8966b83aada,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/attacks/baselines/__init__.py,48,3bbc10894e1eeaf176176bc2f72caa98aaebffcd4ac6cbeb296f11721f84f369,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/attacks/baselines/attack_random.py,1790,43414e2050ef3f68034219ddc536aa7561cce9a702945a1f4d2dd75dffacedf0,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/attacks/baselines/attacker_goexplore.py,25430,05756c88b661c12192096c75a75b69697653f9af5bdd939baadbe54ca34fac76,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/attacks/baselines/guardrail_allow.py,193,493d7e7a630c0ec6d9c0a27bf317a668c02982c347e3997b4d6c64a48b5ee5a5,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/attacks/baselines/guardrail_rules.py,2762,4b785b77bf6afab06eee1e76a5f1fb5c6c210b42093d81d8ade66e5d5b898010,not redistributed: installed third-party snapshot/dependency tree
ai-agent-security-multi-step-tool-attacks/aicomp_sdk/attacks/baselines/shared_archive.py,3552,0a387b94efd9963044038417f48a36a58eb013f5876f79097106b51199f2b662,not redistributed: installed third-party snapshot/dependency tree
